"Quarter_Year","Category","Count"
"2017 Q1","WEAPONS",92.86
"2017 Q2","ALCOHOL & DRUG",476.67
"2017 Q2","DRIVING",199.78
"2017 Q2","DRUG POSSESSION ONLY",137.95
"2017 Q2","MURDER",781.88
"2017 Q2","No Active Offense",4.09
"2017 Q2","OTHER",83.03
"2017 Q2","PERSON",1274.91
"2017 Q2","PROPERTY",1020.52
"2017 Q2","SEX/NON-REGISTERABLE",18.67
"2017 Q2","SEX/REGISTERABLE",2207.43
"2017 Q2","WEAPONS",99.69
"2017 Q3","ALCOHOL & DRUG",482.66
"2017 Q3","DRIVING",175.95
"2017 Q3","DRUG POSSESSION ONLY",136.61
"2017 Q3","MURDER",781.14
"2017 Q3","No Active Offense",3.64
"2017 Q3","OTHER",89.02
"2017 Q3","PERSON",1283.43
"2017 Q3","PROPERTY",1029.48
"2017 Q3","SEX/NON-REGISTERABLE",19.7
"2017 Q3","SEX/REGISTERABLE",2220.41
"2017 Q3","WEAPONS",112.79
"2017 Q4","ALCOHOL & DRUG",486.24
"2017 Q4","DRIVING",170.26
"2017 Q4","DRUG POSSESSION ONLY",138.14
"2017 Q4","MURDER",777.01
"2017 Q4","No Active Offense",1.57
"2017 Q4","OTHER",92.4
"2017 Q4","PERSON",1309.35
"2017 Q4","PROPERTY",1042.64
"2017 Q4","SEX/NON-REGISTERABLE",20.11
"2017 Q4","SEX/REGISTERABLE",2207.08
"2017 Q4","WEAPONS",114.04
"2018 Q1","ALCOHOL & DRUG",500.38
"2018 Q1","DRIVING",175.2
"2018 Q1","DRUG POSSESSION ONLY",153.36
"2018 Q1","MURDER",769.21
"2018 Q1","No Active Offense",1
"2018 Q1","OTHER",88.96
"2018 Q1","PERSON",1316.59
"2018 Q1","PROPERTY",1088.83
"2018 Q1","SEX/NON-REGISTERABLE",20.99
"2018 Q1","SEX/REGISTERABLE",2220.73
"2018 Q1","WEAPONS",113.88
"2018 Q2","ALCOHOL & DRUG",514.24
"2018 Q2","DRIVING",192.15
"2018 Q2","DRUG POSSESSION ONLY",158.53
"2018 Q2","MURDER",773.97
"2018 Q2","No Active Offense",1
"2018 Q2","OTHER",95.85
"2018 Q2","PERSON",1297.53
"2018 Q2","PROPERTY",1098.36
"2018 Q2","SEX/NON-REGISTERABLE",22.1
"2018 Q2","SEX/REGISTERABLE",2208.71
"2018 Q2","WEAPONS",98.32
"2018 Q3","ALCOHOL & DRUG",542.62
"2018 Q3","DRIVING",205.46
"2018 Q3","DRUG POSSESSION ONLY",154.82
"2018 Q3","MURDER",780.87
"2018 Q3","No Active Offense",0.4
"2018 Q3","OTHER",102.26
"2018 Q3","PERSON",1314.67
"2018 Q3","PROPERTY",1136.72
"2018 Q3","SEX/NON-REGISTERABLE",21.71
"2018 Q3","SEX/REGISTERABLE",2201.32
"2018 Q3","WEAPONS",107.77
"2018 Q4","ALCOHOL & DRUG",555.25
"2018 Q4","DRIVING",222.45
"2018 Q4","DRUG POSSESSION ONLY",141.51
"2018 Q4","MURDER",782.21
"2018 Q4","OTHER",112.51
"2018 Q4","PERSON",1318.85
"2018 Q4","PROPERTY",1160.1
"2018 Q4","SEX/NON-REGISTERABLE",23.48
"2018 Q4","SEX/REGISTERABLE",2190.9
"2018 Q4","WEAPONS",115.27
"2019 Q1","ALCOHOL & DRUG",567.82
"2019 Q1","DRIVING",220.49
"2019 Q1","DRUG POSSESSION ONLY",146.18
"2019 Q1","MURDER",777.47
"2019 Q1","OTHER",113.72
"2019 Q1","PERSON",1351.71
"2019 Q1","PROPERTY",1164.91
"2019 Q1","SEX/NON-REGISTERABLE",25.18
"2019 Q1","SEX/REGISTERABLE",2204.28
"2019 Q1","WEAPONS",124.34
"2019 Q2","ALCOHOL & DRUG",565.38
"2019 Q2","DRIVING",212.64
"2019 Q2","DRUG POSSESSION ONLY",138.87
"2019 Q2","MURDER",785.8
"2019 Q2","OTHER",108.23
"2019 Q2","PERSON",1383.77
"2019 Q2","PROPERTY",1199.27
"2019 Q2","SEX/NON-REGISTERABLE",25.41
"2019 Q2","SEX/REGISTERABLE",2220.65
"2019 Q2","WEAPONS",127.76
"2019 Q3","ALCOHOL & DRUG",532.25
"2019 Q3","DRIVING",209.14
"2019 Q3","DRUG POSSESSION ONLY",137.4
"2019 Q3","MURDER",788.18
"2019 Q3","OTHER",110.32
"2019 Q3","PERSON",1409.93
"2019 Q3","PROPERTY",1198.71
"2019 Q3","SEX/NON-REGISTERABLE",25.16
"2019 Q3","SEX/REGISTERABLE",2233.24
"2019 Q3","WEAPONS",137.85
"2019 Q4","ALCOHOL & DRUG",542.26
"2019 Q4","DRIVING",195.43
"2019 Q4","DRUG POSSESSION ONLY",133.42
"2019 Q4","MURDER",790
"2019 Q4","OTHER",122.47
"2019 Q4","PERSON",1421.76
"2019 Q4","PROPERTY",1170.89
"2019 Q4","SEX/NON-REGISTERABLE",24.62
"2019 Q4","SEX/REGISTERABLE",2228.98
"2019 Q4","WEAPONS",136.7
"2020 Q1","ALCOHOL & DRUG",528
"2020 Q1","DRIVING",188.73
"2020 Q1","DRUG POSSESSION ONLY",124.47
"2020 Q1","MURDER",783.99
"2020 Q1","OTHER",124.22
"2020 Q1","PERSON",1387.33
"2020 Q1","PROPERTY",1103.58
"2020 Q1","SEX/NON-REGISTERABLE",21.48
"2020 Q1","SEX/REGISTERABLE",2212.68
"2020 Q1","WEAPONS",145.71
"2020 Q2","ALCOHOL & DRUG",406.79
"2020 Q2","DRIVING",165.19
"2020 Q2","DRUG POSSESSION ONLY",98.51
"2020 Q2","MURDER",776.62
"2020 Q2","No Active Offense",0.37
"2020 Q2","OTHER",117.57
"2020 Q2","PERSON",1265.75
"2020 Q2","PROPERTY",888.51
"2020 Q2","SEX/NON-REGISTERABLE",19.08
"2020 Q2","SEX/REGISTERABLE",2125.01
"2020 Q2","WEAPONS",128.45
"2020 Q3","ALCOHOL & DRUG",369.93
"2020 Q3","DRIVING",147.03
"2020 Q3","DRUG POSSESSION ONLY",80.97
"2020 Q3","MURDER",774.36
"2020 Q3","No Active Offense",0.02
"2020 Q3","OTHER",92.67
"2020 Q3","PERSON",1242.48
"2020 Q3","PROPERTY",772.08
"2020 Q3","SEX/NON-REGISTERABLE",19.91
"2020 Q3","SEX/REGISTERABLE",2069.08
"2020 Q3","WEAPONS",121.37
"2020 Q4","ALCOHOL & DRUG",387.48
"2020 Q4","DRIVING",131.91
"2020 Q4","DRUG POSSESSION ONLY",78.13
"2020 Q4","MURDER",764.77
"2020 Q4","No Active Offense",1.34
"2020 Q4","OTHER",84.99
"2020 Q4","PERSON",1222.33
"2020 Q4","PROPERTY",758.74
"2020 Q4","SEX/NON-REGISTERABLE",17.64
"2020 Q4","SEX/REGISTERABLE",1993.57
"2020 Q4","WEAPONS",114.83
"2021 Q1","ALCOHOL & DRUG",410.02
"2021 Q1","DRIVING",132.99
"2021 Q1","DRUG POSSESSION ONLY",76.87
"2021 Q1","MURDER",752.22
"2021 Q1","No Active Offense",1
"2021 Q1","OTHER",87.51
"2021 Q1","PERSON",1218.29
"2021 Q1","PROPERTY",795.54
"2021 Q1","SEX/NON-REGISTERABLE",18.87
"2021 Q1","SEX/REGISTERABLE",1923.71
"2021 Q1","WEAPONS",114.08
"2021 Q2","ALCOHOL & DRUG",455.14
"2021 Q2","DRIVING",143.68
"2021 Q2","DRUG POSSESSION ONLY",79.21
"2021 Q2","MURDER",741.64
"2021 Q2","No Active Offense",1
"2021 Q2","OTHER",96.42
"2021 Q2","PERSON",1268.08
"2021 Q2","PROPERTY",836.58
"2021 Q2","SEX/NON-REGISTERABLE",22.46
"2021 Q2","SEX/REGISTERABLE",1917.23
"2021 Q2","WEAPONS",123.13
"2021 Q3","ALCOHOL & DRUG",482.57
"2021 Q3","DRIVING",150.83
"2021 Q3","DRUG POSSESSION ONLY",76.98
"2021 Q3","MURDER",741.59
"2021 Q3","No Active Offense",1
"2021 Q3","OTHER",114.2
"2021 Q3","PERSON",1327
"2021 Q3","PROPERTY",878.36
"2021 Q3","SEX/NON-REGISTERABLE",21.08
"2021 Q3","SEX/REGISTERABLE",1938.59
"2021 Q3","WEAPONS",129.07
"2021 Q4","ALCOHOL & DRUG",482.86
"2021 Q4","DRIVING",151.18
"2021 Q4","DRUG POSSESSION ONLY",76.68
"2021 Q4","MURDER",739.5
"2021 Q4","No Active Offense",1
"2021 Q4","OTHER",114.93
"2021 Q4","PERSON",1321
"2021 Q4","PROPERTY",902.2
"2021 Q4","SEX/NON-REGISTERABLE",20.45
"2021 Q4","SEX/REGISTERABLE",1965.96
"2021 Q4","WEAPONS",144.5
"2022 Q1","ALCOHOL & DRUG",472.53
"2022 Q1","DRIVING",153.64
"2022 Q1","DRUG POSSESSION ONLY",80.01
"2022 Q1","MURDER",743.79
"2022 Q1","No Active Offense",1
"2022 Q1","OTHER",98.32
"2022 Q1","PERSON",1325.8
"2022 Q1","PROPERTY",861.74
"2022 Q1","SEX/NON-REGISTERABLE",21.21
"2022 Q1","SEX/REGISTERABLE",1991.32
"2022 Q1","WEAPONS",146.17
"2022 Q2","ALCOHOL & DRUG",457.68
"2022 Q2","DRIVING",157.45
"2022 Q2","DRUG POSSESSION ONLY",93.62
"2022 Q2","MURDER",750.85
"2022 Q2","No Active Offense",1
"2022 Q2","OTHER",101.27
"2022 Q2","PERSON",1322.58
"2022 Q2","PROPERTY",831.25
"2022 Q2","SEX/NON-REGISTERABLE",23.42
"2022 Q2","SEX/REGISTERABLE",1989.12
"2022 Q2","WEAPONS",138.34
"2022 Q3","ALCOHOL & DRUG",457.98
"2022 Q3","DRIVING",172.33
"2022 Q3","DRUG POSSESSION ONLY",84.32
"2022 Q3","MURDER",759.93
"2022 Q3","No Active Offense",1.28
"2022 Q3","OTHER",101.55
"2022 Q3","PERSON",1353.47
"2022 Q3","PROPERTY",826.34
"2022 Q3","SEX/NON-REGISTERABLE",26.46
"2022 Q3","SEX/REGISTERABLE",2003.41
"2022 Q3","WEAPONS",143.03
"2022 Q4","ALCOHOL & DRUG",460.39
"2022 Q4","DRIVING",171.36
"2022 Q4","DRUG POSSESSION ONLY",73.64
"2022 Q4","MURDER",768.84
"2022 Q4","No Active Offense",1
"2022 Q4","OTHER",112.05
"2022 Q4","PERSON",1380.72
"2022 Q4","PROPERTY",818.92
"2022 Q4","SEX/NON-REGISTERABLE",27.64
"2022 Q4","SEX/REGISTERABLE",2021.45
"2022 Q4","WEAPONS",143.74
"2023 Q1","ALCOHOL & DRUG",458.56
"2023 Q1","DRIVING",182.77
"2023 Q1","DRUG POSSESSION ONLY",67.29
"2023 Q1","MURDER",780.28
"2023 Q1","No Active Offense",1.8
"2023 Q1","OTHER",111.46
"2023 Q1","PERSON",1378.87
"2023 Q1","PROPERTY",814.1
"2023 Q1","SEX/NON-REGISTERABLE",27.41
"2023 Q1","SEX/REGISTERABLE",2064.23
"2023 Q1","WEAPONS",155.36
"2023 Q2","ALCOHOL & DRUG",473.38
"2023 Q2","DRIVING",186.85
"2023 Q2","DRUG POSSESSION ONLY",71.47
"2023 Q2","MURDER",783.52
"2023 Q2","No Active Offense",0.88
"2023 Q2","OTHER",103.77
"2023 Q2","PERSON",1379.33
"2023 Q2","PROPERTY",806.49
"2023 Q2","SEX/NON-REGISTERABLE",28.42
"2023 Q2","SEX/REGISTERABLE",2118.6
"2023 Q2","WEAPONS",159.67
"2023 Q3","ALCOHOL & DRUG",492.03
"2023 Q3","DRIVING",190.61
"2023 Q3","DRUG POSSESSION ONLY",67.37
"2023 Q3","MURDER",801.46
"2023 Q3","OTHER",97.92
"2023 Q3","PERSON",1383.45
"2023 Q3","PROPERTY",814.45
"2023 Q3","SEX/NON-REGISTERABLE",27.75
"2023 Q3","SEX/REGISTERABLE",2156.83
"2023 Q3","WEAPONS",153.18
"2023 Q4","ALCOHOL & DRUG",495.1
"2023 Q4","DRIVING",192.73
"2023 Q4","DRUG POSSESSION ONLY",75.03
"2023 Q4","MURDER",821.28
"2023 Q4","No Active Offense",0.82
"2023 Q4","OTHER",111.16
"2023 Q4","PERSON",1434.02
"2023 Q4","PROPERTY",824.22
"2023 Q4","SEX/NON-REGISTERABLE",27.97
"2023 Q4","SEX/REGISTERABLE",2189.43
"2023 Q4","WEAPONS",155.02
"2024 Q1","ALCOHOL & DRUG",486.99
"2024 Q1","DRIVING",201.77
"2024 Q1","DRUG POSSESSION ONLY",91.18
"2024 Q1","MURDER",831.71
"2024 Q1","No Active Offense",1
"2024 Q1","OTHER",116.42
"2024 Q1","PERSON",1447.54
"2024 Q1","PROPERTY",854
"2024 Q1","SEX/NON-REGISTERABLE",29.34
"2024 Q1","SEX/REGISTERABLE",2236.33
"2024 Q1","WEAPONS",173.89
"2024 Q2","ALCOHOL & DRUG",467.97
"2024 Q2","DRIVING",194.46
"2024 Q2","DRUG POSSESSION ONLY",95.65
"2024 Q2","MURDER",841.46
"2024 Q2","No Active Offense",0.09
"2024 Q2","OTHER",120.46
"2024 Q2","PERSON",1418.6
"2024 Q2","PROPERTY",799.66
"2024 Q2","SEX/NON-REGISTERABLE",29.03
"2024 Q2","SEX/REGISTERABLE",2263.01
"2024 Q2","WEAPONS",169.04
"2024 Q3","ALCOHOL & DRUG",463.3
"2024 Q3","DRIVING",193.34
"2024 Q3","DRUG POSSESSION ONLY",93.37
"2024 Q3","MURDER",854.54
"2024 Q3","OTHER",111.8
"2024 Q3","PERSON",1411.29
"2024 Q3","PROPERTY",768.73
"2024 Q3","SEX/NON-REGISTERABLE",26.92
"2024 Q3","SEX/REGISTERABLE",2303.03
"2024 Q3","WEAPONS",158.62
"2024 Q4","ALCOHOL & DRUG",469.98
"2024 Q4","DRIVING",189.35
"2024 Q4","DRUG POSSESSION ONLY",82.01
"2024 Q4","MURDER",859.05
"2024 Q4","OTHER",116.85
"2024 Q4","PERSON",1382.21
"2024 Q4","PROPERTY",759.57
"2024 Q4","SEX/NON-REGISTERABLE",21.43
"2024 Q4","SEX/REGISTERABLE",2320.4
"2024 Q4","WEAPONS",156.33
"2025 Q1","ALCOHOL & DRUG",473.81
"2025 Q1","DRIVING",186.68
"2025 Q1","DRUG POSSESSION ONLY",69.47
"2025 Q1","MURDER",867.26
"2025 Q1","OTHER",124.77
